# # Al-Al RDF
# # Distance(A) g(r)
1.000000000000000056e-01 5.203818444368140490e+02
3.000000000000000444e-01 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00
7.000000000000000666e-01 0.000000000000000000e+00
9.000000000000000222e-01 0.000000000000000000e+00
1.100000000000000089e+00 0.000000000000000000e+00
1.300000000000000266e+00 0.000000000000000000e+00
1.500000000000000000e+00 0.000000000000000000e+00
1.700000000000000178e+00 0.000000000000000000e+00
1.899999999999999911e+00 0.000000000000000000e+00
2.100000000000000089e+00 0.000000000000000000e+00
2.300000000000000266e+00 1.434690599597716497e-04
2.500000000000000000e+00 1.237569144727212467e-01
2.700000000000000178e+00 2.401470367735519140e+00
2.900000000000000355e+00 4.823687899600842321e+00
3.100000000000000089e+00 2.122033359600604907e+00
3.300000000000000266e+00 3.364069286700657191e-01
3.500000000000000000e+00 4.100226590039798835e-02
3.700000000000000178e+00 1.321896988652425109e-01
3.900000000000000355e+00 5.721486527698375069e-01
4.099999999999999645e+00 9.721889819360245433e-01
4.300000000000000711e+00 6.082638396835494676e-01
4.500000000000000000e+00 2.078713434215523348e-01
4.700000000000001066e+00 6.559282708756113411e-01
4.900000000000000355e+00 2.177505937495753940e+00
5.099999999999999645e+00 2.423068975553068327e+00
5.300000000000000711e+00 1.077976826672272903e+00
5.500000000000000000e+00 4.626989417101238788e-01
5.700000000000001066e+00 8.902749541218232254e-01
5.900000000000000355e+00 9.176039453968225512e-01
6.099999999999999645e+00 5.751874657817869219e-01
6.300000000000000711e+00 1.001805731790992082e+00
6.500000000000000000e+00 1.504071081924073905e+00
6.700000000000001066e+00 9.994867383394943072e-01
6.900000000000000355e+00 4.934007174037668420e-01
7.099999999999999645e+00 4.735165217909694801e-01
7.300000000000000711e+00 6.410297229841033229e-01
7.500000000000000000e+00 1.500251176048582380e+00
7.700000000000001066e+00 2.158126258804349717e+00
7.900000000000000355e+00 1.375980930001172053e+00
8.100000000000001421e+00 5.440736833620807289e-01
8.300000000000000711e+00 4.139978048621127393e-01
8.500000000000000000e+00 8.094837450115041078e-01
8.699999999999999289e+00 1.291978744027661552e+00
8.900000000000000355e+00 1.153882607498939228e+00
9.100000000000001421e+00 9.484602927490133339e-01
9.300000000000000711e+00 8.648300483320956467e-01
9.500000000000000000e+00 8.185531689106427811e-01
9.700000000000001066e+00 8.220482918498263070e-01
9.900000000000000355e+00 8.091845036850814354e-01
1.010000000000000142e+01 1.004119572702582230e+00
1.030000000000000071e+01 1.509420093944241037e+00
1.050000000000000000e+01 1.766084185591561662e+00
1.070000000000000107e+01 1.077858510694587491e+00
1.090000000000000036e+01 5.076887716955519325e-01
1.110000000000000142e+01 7.567242329377207311e-01
1.130000000000000071e+01 1.023379483623284125e+00
1.150000000000000000e+01 7.922157981585095099e-01
1.170000000000000107e+01 6.957469253669784637e-01
1.190000000000000036e+01 9.567187525544583737e-01
1.210000000000000142e+01 1.077192971347687767e+00
1.230000000000000071e+01 1.056349838659750962e+00
1.250000000000000000e+01 1.270049414672981936e+00
1.270000000000000107e+01 1.405245981519982923e+00
1.290000000000000036e+01 1.119044961469573440e+00
1.310000000000000142e+01 9.178209685638440973e-01
1.330000000000000071e+01 9.496692972462340565e-01
1.350000000000000000e+01 8.732349258110899681e-01
1.370000000000000107e+01 8.083262001883064762e-01
1.390000000000000036e+01 8.343651973585822779e-01
1.410000000000000142e+01 7.403429406898882625e-01
1.430000000000000071e+01 8.225167921034783891e-01
1.450000000000000000e+01 1.160378309875300218e+00
1.470000000000000107e+01 1.202126122724105572e+00
1.490000000000000036e+01 1.224515713160764685e+00
